Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumStorePurchases,NumWebVisitsMonth,Complain,WebPurchases,Age,Total_Spending,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
58138.0,0,58,635,88,546,172,88,88,4,7,0,1,68,1617,0,1,0,0,0,1,0,0
46344.0,1,38,11,1,6,2,1,6,2,5,0,0,71,27,0,1,0,0,0,1,0,0
71613.0,0,26,426,49,127,111,21,42,10,4,0,1,60,776,0,1,0,0,0,0,1,0
26646.0,1,26,11,4,20,10,3,5,4,6,0,0,41,53,0,1,0,0,0,0,1,0
58293.0,1,94,173,43,118,46,27,15,6,5,0,1,44,422,0,0,0,1,1,0,0,0
62513.0,0,16,520,42,98,0,42,14,10,6,0,1,58,716,0,0,1,0,0,0,1,0
55635.0,0,34,235,65,164,50,49,27,7,6,0,1,54,590,0,1,0,0,0,0,0,0
33454.0,1,32,76,10,56,3,1,23,4,8,0,1,40,169,0,0,0,1,1,0,0,0
30351.0,1,19,14,0,24,3,3,2,2,9,0,0,51,46,0,0,0,1,0,0,1,0
5648.0,1,68,28,0,6,1,1,13,0,20,0,0,75,49,0,0,0,1,0,0,1,0
51381.5,1,11,5,5,6,0,2,1,2,7,0,0,42,19,0,1,0,0,1,0,0,0
7500.0,0,59,6,16,11,11,1,16,3,8,0,0,49,61,1,0,0,0,1,0,0,0
63033.0,0,82,194,61,480,225,112,30,8,2,0,0,66,1102,0,1,0,0,0,0,0,0
59354.0,1,53,233,2,53,3,5,14,5,6,0,1,73,310,0,0,1,0,0,0,0,0
17323.0,0,38,3,14,17,6,1,5,3,8,0,0,38,46,0,1,0,0,1,0,0,0
82800.0,0,23,1006,22,115,59,68,45,12,3,0,1,79,1315,0,0,0,1,0,1,0,0
41850.0,1,51,53,5,19,2,13,4,3,8,0,0,45,96,0,1,0,0,1,0,0,0
37760.0,0,20,84,5,38,150,12,28,6,7,0,1,79,317,0,1,0,0,0,0,1,0
76995.0,0,91,1012,80,498,0,16,176,9,5,0,1,76,1782,0,0,1,0,1,0,0,0
33812.0,1,86,4,17,19,30,24,39,3,6,0,0,40,133,0,0,0,0,0,1,0,0
37040.0,0,41,86,2,73,69,38,48,5,8,0,1,43,316,0,1,0,0,1,0,0,0
2447.0,1,42,1,1,1725,1,1,1,0,1,0,0,46,1730,0,1,0,0,1,0,0,0
58607.0,0,63,867,0,86,0,0,19,9,8,0,0,76,972,0,0,0,1,1,0,0,0
65324.0,0,0,384,0,102,21,32,5,9,4,0,1,71,544,0,0,0,1,1,0,0,0
40689.0,0,69,270,3,27,39,6,99,5,8,0,1,74,444,0,1,0,0,0,0,1,0
18589.0,0,89,6,4,25,15,12,13,3,7,0,0,56,75,0,1,0,0,0,1,0,0
53359.0,1,4,173,4,30,3,6,41,4,7,0,1,49,257,0,1,0,0,1,0,0,0
51381.5,1,19,5,1,3,3,263,362,0,1,0,1,39,637,0,1,0,0,0,1,0,0
38360.0,1,26,36,2,42,20,21,10,4,3,0,0,36,131,0,1,0,0,1,0,0,0
84618.0,0,96,684,100,801,21,66,0,10,2,0,1,60,1672,0,0,0,1,1,0,0,0
10979.0,0,34,8,4,10,2,2,4,3,5,0,0,36,30,0,0,1,0,0,0,0,0
38620.0,0,56,112,17,44,34,22,89,3,3,0,0,62,318,0,0,1,0,0,0,1,0
40548.0,0,31,110,0,5,2,0,3,4,5,0,0,55,120,0,1,0,0,0,0,1,0
46610.0,0,8,96,12,96,33,22,43,6,6,0,1,73,302,0,0,0,1,0,0,0,0
68657.0,0,4,482,34,471,119,68,22,9,7,0,0,79,1196,0,0,1,0,1,0,0,0
49389.0,1,55,40,0,19,2,1,3,3,7,0,0,74,65,0,0,1,0,0,1,0,0
67353.0,0,37,702,17,151,0,8,35,12,2,0,1,55,913,0,0,0,1,1,0,0,0
23718.0,1,76,6,3,14,15,7,36,2,7,0,0,49,81,0,0,0,0,1,0,0,0
42429.0,0,99,55,0,6,2,0,4,3,5,0,0,52,67,0,1,0,0,0,0,0,1
48948.0,0,53,437,8,206,160,49,42,5,6,0,1,82,902,0,0,0,1,0,0,0,0
80011.0,0,3,421,76,536,82,178,102,5,4,0,1,45,1395,0,1,0,0,1,0,0,0
20559.0,1,88,13,1,29,3,0,7,3,8,0,0,40,53,0,0,1,0,1,0,0,0
21994.0,0,4,9,0,6,3,1,3,3,5,0,0,68,22,0,1,0,0,0,0,1,0
51381.5,0,80,81,11,50,3,2,39,4,2,0,0,66,186,0,0,0,1,0,1,0,0
7500.0,1,19,3,1,10,3,2,12,3,5,0,0,50,31,0,0,1,0,1,0,0,0
79941.0,0,72,123,164,266,227,30,174,9,1,0,0,49,984,0,1,0,0,0,1,0,0
7500.0,0,24,3,18,14,15,22,50,3,9,0,0,29,122,0,0,0,0,1,0,0,0
41728.0,1,92,13,6,15,3,5,13,2,10,0,0,57,55,0,1,0,0,0,0,1,0
51381.5,2,96,48,5,48,6,10,7,4,6,0,0,74,124,0,1,0,0,0,1,0,0
72550.0,1,39,826,50,317,50,38,38,12,8,0,1,71,1319,0,0,0,1,1,0,0,0
65486.0,0,29,245,19,125,37,67,14,10,2,0,1,68,507,0,1,0,0,0,0,0,1
79143.0,0,2,650,37,780,27,167,32,13,3,0,1,61,1693,0,0,1,0,1,0,0,0
35790.0,1,54,12,6,20,30,1,3,3,7,0,0,48,72,0,1,0,0,0,1,0,0
82582.0,0,54,510,120,550,156,40,241,7,1,0,1,48,1617,0,1,0,0,0,0,0,0
66373.0,1,57,328,9,124,12,24,109,10,3,0,1,47,606,0,1,0,0,1,0,0,0
82384.0,0,55,984,51,432,180,120,190,13,1,0,0,70,1957,0,0,1,0,0,0,1,0
70287.0,0,30,295,35,482,121,120,40,10,3,0,1,59,1093,0,1,0,0,0,0,0,0
27938.0,1,31,13,0,8,2,1,5,4,3,0,0,37,29,0,1,0,0,0,1,0,0
51381.5,1,57,11,3,22,2,2,6,3,6,0,0,43,46,0,1,0,0,0,1,0,0
55954.0,0,63,447,0,28,0,0,43,6,7,0,1,57,518,0,0,0,1,1,0,0,0
75777.0,0,12,712,26,538,69,13,80,11,1,0,0,43,1438,0,0,1,0,0,1,0,0
66653.0,1,18,452,18,102,16,18,6,12,3,0,1,50,612,0,1,0,0,0,0,1,0
61823.0,0,26,523,7,134,37,14,169,10,7,0,1,73,884,0,1,0,0,0,1,0,0
67680.0,0,8,546,0,48,0,6,6,8,5,0,1,74,606,0,0,0,1,0,0,0,1
70666.0,0,29,398,40,367,119,122,30,4,4,0,1,77,1076,0,1,0,0,0,0,1,0
25721.0,1,75,1,3,6,3,6,15,2,7,0,0,54,34,0,1,0,0,1,0,0,0
32474.0,1,0,10,0,1,0,0,0,2,7,0,0,58,11,0,1,0,0,0,0,1,0
88194.0,0,19,688,14,309,201,24,38,10,5,0,1,46,1274,0,0,0,0,0,1,0,0
69096.0,0,4,247,49,159,7,82,109,10,4,0,1,67,653,0,1,0,0,0,0,1,0
74854.0,1,90,856,59,487,58,29,73,5,5,0,0,55,1562,0,1,0,0,0,0,1,0
66991.0,0,1,496,36,460,189,60,12,6,3,0,1,71,1253,0,0,1,0,1,0,0,0
51381.5,1,25,25,3,43,17,4,17,3,8,0,0,52,109,0,0,0,0,1,0,0,0
65031.0,0,29,258,107,291,84,37,86,13,7,0,1,66,863,0,1,0,0,1,0,0,0
60631.0,1,88,565,6,65,0,6,19,8,7,0,1,50,661,0,0,0,1,1,0,0,0
28332.0,0,58,14,10,13,4,15,9,4,2,0,0,73,65,0,1,0,0,1,0,0,0
40246.0,1,68,2,1,6,2,1,1,2,6,0,0,48,13,0,1,0,0,0,0,0,0
75251.0,0,34,721,111,925,97,18,18,5,5,0,1,53,1890,0,0,1,0,1,0,0,0
75825.0,0,40,1032,105,779,137,105,51,9,4,0,1,49,2209,0,1,0,0,0,1,0,0
26326.0,0,12,1,0,5,0,3,9,3,3,1,0,49,18,0,0,0,0,0,0,1,0
56046.0,0,9,577,0,64,0,0,51,8,8,0,1,60,692,0,1,0,0,0,0,1,0
29760.0,1,87,64,4,68,7,5,17,4,8,0,0,40,165,0,1,0,0,0,1,0,0
26304.0,1,5,4,1,5,2,0,4,2,7,0,0,56,16,0,1,0,0,1,0,0,0
23559.0,1,87,25,5,19,7,0,23,3,7,0,0,52,79,0,0,0,0,1,0,0,0
81361.0,0,18,163,23,424,27,65,76,13,1,0,0,38,778,0,1,0,0,0,0,0,0
29440.0,1,95,17,8,14,10,4,3,4,7,0,0,65,56,0,1,0,0,1,0,0,0
36138.0,1,48,130,0,16,0,0,5,4,7,0,0,55,151,0,0,1,0,1,0,0,0
50388.0,0,3,292,6,37,0,3,34,6,7,0,1,68,372,0,1,0,0,0,1,0,0
79593.0,0,70,350,60,568,110,133,145,7,2,0,1,52,1366,0,1,0,0,1,0,0,0
54178.0,0,79,135,9,39,4,0,7,5,2,0,0,58,194,0,1,0,0,0,0,1,0
51381.5,2,4,230,42,192,49,37,53,8,9,0,1,68,603,0,0,0,1,1,0,0,0
51381.5,1,45,7,0,8,2,0,1,2,7,0,0,68,18,0,1,0,0,0,1,0,0
51381.5,0,87,445,37,359,98,28,18,8,1,0,0,52,985,0,0,1,0,0,0,1,0
42394.0,1,69,15,2,10,0,1,4,3,7,0,0,53,32,0,0,1,0,0,1,0,0
23626.0,1,84,27,2,14,0,0,0,3,5,0,0,55,43,0,0,0,1,1,0,0,0
30096.0,1,30,5,3,11,12,5,9,3,6,0,0,42,45,0,1,0,0,1,0,0,0
47916.0,0,72,505,0,26,0,0,75,6,6,0,1,65,606,0,1,0,0,0,0,0,1
51813.0,1,37,51,2,7,0,1,2,3,7,0,0,53,63,0,1,0,0,0,0,0,0
78497.0,0,44,207,26,447,75,0,223,12,2,0,1,74,978,0,0,0,0,1,0,0,0
50150.0,0,32,135,46,92,65,61,11,7,5,0,1,42,410,0,0,0,1,1,0,0,0
47823.0,0,0,53,1,5,2,1,10,3,8,0,0,65,72,0,0,0,0,0,1,0,0
34554.0,0,43,41,1,6,2,0,5,3,6,0,0,66,55,0,0,0,1,0,1,0,0
85693.0,0,59,386,172,183,185,132,111,11,5,0,1,46,1169,0,1,0,0,0,0,1,0
65846.0,0,68,562,81,276,80,40,81,6,4,0,1,80,1120,0,0,0,1,1,0,0,0
87195.0,0,35,217,76,690,50,26,38,5,1,0,0,66,1097,0,1,0,0,1,0,0,0
24594.0,1,94,1,3,6,10,0,9,3,5,0,0,46,29,1,0,0,0,0,0,1,0
49096.0,1,15,144,1,32,2,1,7,4,7,0,1,61,187,0,1,0,0,1,0,0,0
52413.0,0,56,295,106,271,75,98,65,12,6,0,1,56,910,0,1,0,0,1,0,0,0
38557.0,1,17,76,3,31,4,4,27,3,7,0,0,47,145,0,1,0,0,0,1,0,0
89058.0,0,18,454,194,106,31,22,43,4,2,0,1,65,850,0,0,1,0,1,0,0,0
77298.0,0,46,425,115,292,23,35,79,11,3,0,1,46,969,0,1,0,0,0,0,1,0
68126.0,0,40,1332,17,311,23,51,86,5,9,0,1,34,1820,0,0,0,1,0,1,0,0
57288.0,0,27,527,0,21,0,0,60,8,6,0,1,62,608,0,0,1,0,0,0,1,0
86037.0,0,95,490,44,125,29,20,22,11,3,0,1,34,730,0,1,0,0,0,1,0,0
43974.0,1,19,378,0,101,0,0,72,6,7,0,1,45,551,0,0,0,1,1,0,0,0
50785.0,1,27,64,1,21,0,1,27,3,6,0,0,63,114,0,1,0,0,0,1,0,0
90765.0,0,25,547,99,812,151,82,33,5,1,0,1,55,1724,0,1,0,0,1,0,0,0
36550.0,1,74,47,90,94,123,103,120,5,9,0,1,47,577,0,0,0,0,1,0,0,0
30753.0,1,85,12,5,25,0,9,30,3,5,0,0,58,81,0,0,0,0,0,0,1,0
21918.0,1,37,1,6,7,11,5,3,3,6,0,0,56,33,0,1,0,0,0,0,1,0
56129.0,0,65,320,48,133,39,72,48,10,4,0,1,72,660,0,0,1,0,0,0,1,0
32557.0,1,13,34,3,29,0,4,10,3,5,0,0,58,80,0,0,1,0,0,1,0,0
19510.0,2,63,9,0,7,3,4,7,3,7,0,0,40,30,0,0,1,0,1,0,0,0
30992.0,1,83,17,0,14,7,3,2,3,7,0,0,49,43,0,1,0,0,0,0,0,0
101970.0,0,69,722,27,102,44,72,168,13,2,0,1,42,1135,0,1,0,0,0,1,0,0
71488.0,0,87,162,33,124,40,28,172,7,1,0,0,60,559,0,0,0,0,0,0,1,0
79607.0,0,37,450,133,951,173,0,216,6,1,0,0,41,1923,0,1,0,0,0,1,0,0
54348.0,1,51,70,0,16,0,0,4,4,6,0,0,72,90,0,0,1,0,1,0,0,0
51381.5,0,23,352,0,27,10,0,15,7,6,0,1,64,404,0,0,0,1,1,0,0,0
77376.0,1,72,492,19,110,16,12,12,10,4,0,1,69,661,0,0,0,1,0,0,1,0
62998.0,0,10,120,58,73,65,89,58,5,5,0,1,73,463,0,1,0,0,1,0,0,0
61331.0,1,42,534,5,47,0,5,41,6,8,0,1,67,632,0,0,1,0,0,1,0,0
73448.0,0,10,236,106,189,23,41,130,9,4,0,1,56,725,0,1,0,0,1,0,0,0
51381.5,0,96,231,65,196,38,71,124,7,4,0,1,62,725,0,1,0,0,1,0,0,0
41551.0,1,51,220,0,33,3,0,23,5,8,0,1,61,279,0,0,0,1,1,0,0,0
62981.0,0,21,796,14,590,38,44,0,13,3,0,1,58,1482,0,0,0,1,0,0,1,0
9548.0,1,31,0,1,3,10,6,9,3,8,0,0,49,29,1,0,0,0,0,0,0,0
33762.0,2,61,53,1,34,2,0,16,2,8,0,0,66,106,0,0,0,1,1,0,0,0
35860.0,1,37,15,0,8,4,2,20,2,5,0,0,52,49,0,0,0,1,0,1,0,0
